card_id,entity_id,txn_timestamp,amount_inr,merchant_category_code,city,lat,lon,is_international,is_contactless,device_fingerprint,ip_address,distance_from_last_txn_km,time_since_last_txn_mins,velocity_1hr,velocity_24hr,hour_of_day,is_weekend,fraud_type,is_fraud
6011732353301320,,2025-07-28 11:37:30,612.64,0489,Singapore,1.366902,103.861385,1,1,0dfed524f4d837d96aa3dab79f012d6e,217.224.0.148,3.15,72.71,1,5,11,0,clean,0
213164520508760,UDYAM-TN-20-23-0607795,2025-10-24 01:37:39,31.22,1540,Mumbai,19.125115,72.966292,0,0,9b074b1969e7e733e9c2c0a0e95214c9,130.47.187.84,14.3,142.16,1,9,1,0,clean,0
344464067651771,UDYAM-TN-26-20-0453355,2025-06-03 04:57:05,3144.77,8924,Chennai,13.06696,80.287004,0,0,3a2cedbb7ab67d07d9ae1fd5f382d9b3,26.14.142.184,16.44,157.61,2,9,4,0,clean,0
4750872680559503,UDYAM-TN-16-22-0218825,2025-07-12 21:15:46,175.53,4012,Colombo,6.910477,79.997541,1,1,10963fa695833e7104f408bfa64a84cb,24.67.186.238,4.41,142.48,3,7,21,1,clean,0
6011926950008755,,2025-11-18 05:35:27,690.72,2537,Kolkata,22.518026,88.347587,0,0,1f84c6bb0696f5fd2b9ef4a399726cbd,219.69.73.213,50.71,104.95,3,10,5,0,clean,0
4359184870232,UDYAM-TN-10-23-0689887,2025-07-13 06:37:17,12981.75,7433,Coimbatore,11.035295,76.971745,0,1,3510efb71c08a6f75ce9599c36e505d9,134.39.170.142,5.93,200.15,2,8,6,1,clean,0
4617435348903068,UDYAM-TN-12-20-0179299,2025-08-27 22:03:17,2121.45,8010,Hyderabad,17.377726,78.482799,0,0,adc342689635dc6dfaf717f975f21464,174.34.188.41,47.08,215.5,3,8,22,0,clean,0
4321039952611475,UDYAM-TN-24-21-0176731,2025-05-02 11:23:55,550.7,8843,Singapore,1.405864,103.763089,1,0,84b328d8a14f88321f34a64737983392,70.252.82.175,51.71,19.69,2,5,11,0,clean,0
3533489473792690,UDYAM-TN-18-23-0284425,2025-08-27 09:30:59,3874.79,8629,Delhi,28.6139,77.209,0,0,d8fb95ce731485d3451be166745a4d44,176.166.221.130,836.97,17.37,16,13,9,0,card_cloning,1
4386399505303,,2025-12-05 00:43:32,286.7,6330,Colombo,6.861151,79.945622,1,1,bd6ccc308b130f85c5114b54bd267ed1,28.112.121.142,26.02,206.76,1,1,0,0,clean,0
4179844066709195,UDYAM-TN-16-22-0218825,2026-04-15 23:53:02,5520.29,1241,Colombo,6.917352,79.875825,1,0,ed120a49d61ee52edb2406dbf5b74dcf,4.251.145.45,0.18,37.63,1,8,23,0,clean,0
676162878943,,2026-03-26 03:20:44,1450.06,0632,Dubai,25.149825,55.249442,1,0,8e4bab70deb8f9a917757896dfd750dd,57.6.238.32,12.64,195.56,2,8,3,0,clean,0
180095712413741,UDYAM-TN-02-20-0562534,2025-05-18 01:15:37,2964.51,2597,Kolkata,22.559167,88.441254,0,0,ea292ea7e949dd68fb966fd5995537cf,145.188.58.10,1.07,244.43,1,4,1,1,clean,0
